time,value,gas_price,size,total_diff,diff,blockgas_limit,blockgas_used,trans_count
2020-07-01 00:00:00,1.4840426291988992e+18,44411343809.96111,37222.589679039535,1.6131893841183713e+22,2349334618077294.5,11841261.031259596,11328680.057705881,185.72941387439678
2020-07-01 12:00:00,2.0626928640240566e+18,49696040861.64185,33452.05431640824,1.6139303240555905e+22,2327163946226155.5,11477036.008734904,10922457.636760483,141.79827705531582
2020-07-02 00:00:00,1.5950100084279252e+18,42091136765.09369,37300.66500647265,1.614696000513407e+22,2375565141265964.5,11897852.119123524,11205691.645572744,178.32135577341396
2020-07-02 12:00:00,2.013495096340212e+18,41855084090.20524,35651.466376368924,1.6154528599768646e+22,2341945773183900.5,11826824.073043503,11200138.857164204,145.11135500577853
2020-07-03 00:00:00,1.8530434731477507e+18,44962998885.74522,38028.41373689935,1.6162246592175022e+22,2390763375871781.0,11711616.30939913,11132056.780867191,174.55349348125515
2020-07-03 12:00:00,1.6693294775646415e+18,42355415014.021675,34084.18963712344,1.6169862965655109e+22,2374425711962941.5,11691946.59991003,11068058.708937017,142.3898130282969
2020-07-04 00:00:00,1.2995900454914772e+18,32644146213.827618,33334.13195289384,1.617768727705424e+22,2425088220483989.5,11906261.599852948,11364166.596423589,160.45635035116914
2020-07-04 12:00:00,1.2339450815254705e+18,33199765920.39801,30907.66022145258,1.618544349185004e+22,2391407380393958.0,11874849.919052817,11321863.436289348,134.51940782260627
2020-07-05 00:00:00,9.946431425133746e+17,31385414690.7782,30777.436583359024,1.6193216401739463e+22,2399250083615716.0,11748414.9421013,11238880.639698744,149.11375469657114
2020-07-05 12:00:00,1.3450754598780767e+18,31313410198.06673,28925.222238043785,1.6200879252775197e+22,2355493551071592.5,11788458.534491196,11246422.059201391,123.01360578753093
2020-07-06 00:00:00,1.816106728963962e+18,38449730749.36079,34399.577517935984,1.6208579686312679e+22,2380718924275693.5,11673307.677817255,11060368.512848778,167.88818158882856
2020-07-06 12:00:00,2.6281505898788536e+18,41247360581.045525,34926.52134386364,1.6216333078227382e+22,2398245165803658.5,11781233.570106136,11236954.030365556,148.54165507593248
2020-07-07 00:00:00,1.797337678676466e+18,40160228065.05178,37800.74483509012,1.6223856949846748e+22,2318844577214970.0,11869116.567093825,11290161.092953578,181.35568243502993
2020-07-07 12:00:00,2.6563496605314565e+18,39639576050.859535,33780.6658708104,1.6231485083950114e+22,2380489799690592.5,11819944.125629613,11239210.577714505,147.63943063829996
2020-07-08 00:00:00,2.503176900547169e+18,47611860505.42173,36610.52791121622,1.6239396505460075e+22,2424353478436408.5,11616589.601977726,11076492.679147307,176.0746371163757
